Iteracion;Tipo;Tiempo (s)
333;GET;0,1312
333;POST;1,5781
334;GET;0,1277
334;POST;1,561
335;GET;0,132
335;POST;1,5777
336;GET;0,1287
336;POST;1,5745
337;GET;0,1337
337;POST;1,5661
338;GET;0,136
338;POST;1,6269
339;GET;0,1249
339;POST;1,5505
340;GET;0,1213
340;POST;1,6277
341;GET;0,1291
341;POST;1,5258
342;GET;0,132
342;POST;1,5517
343;GET;0,1262
343;POST;1,5631
344;GET;0,1256
344;POST;1,6316
345;GET;0,1263
345;POST;1,5623
346;GET;0,1295
346;POST;1,5666
347;GET;0,1286
347;POST;1,6535
348;GET;0,1277
348;POST;1,5432
349;GET;0,1502
349;POST;1,5825
350;GET;0,1303
350;POST;1,5711
351;GET;0,1321
351;POST;1,6024
352;GET;0,1285
352;POST;1,5937
353;GET;0,1414
353;POST;1,5693
354;GET;0,1392
354;POST;1,5234
355;GET;0,141
355;POST;1,5493
356;GET;0,1294
356;POST;1,619
357;GET;0,1455
357;POST;1,5884
358;GET;0,1289
358;POST;1,5694
359;GET;0,1294
359;POST;1,6098
360;GET;0,1403
360;POST;1,5503
361;GET;0,1318
361;POST;1,5914
362;GET;0,1235
362;POST;1,5776
363;GET;0,129
363;POST;1,58
364;GET;0,1287
364;POST;1,6726
365;GET;0,1296
365;POST;1,5887
366;GET;0,1437
366;POST;1,5968
367;GET;0,1444
367;POST;1,6544
368;GET;0,1477
368;POST;1,5901
369;GET;0,1307
369;POST;1,626
370;GET;0,127
370;POST;1,6287
371;GET;0,1246
371;POST;1,5526
372;GET;0,1308
372;POST;1,565
373;GET;0,1249
373;POST;1,5226
374;GET;0,1325
374;POST;1,5959
375;GET;0,1269
375;POST;1,5236
376;GET;0,1279
376;POST;1,5266
377;GET;0,1274
377;POST;1,5947
378;GET;0,1262
378;POST;1,6067
379;GET;0,126
379;POST;1,6605
380;GET;0,1235
380;POST;1,6088
381;GET;0,1286
381;POST;1,5899
382;GET;0,124
382;POST;1,5448
383;GET;0,1234
383;POST;1,6136
384;GET;0,1434
384;POST;1,568
385;GET;0,1306
385;POST;1,5303
386;GET;0,1322
386;POST;1,5671
387;GET;0,1312
387;POST;1,632
388;GET;0,1426
388;POST;1,5229
389;GET;0,1296
389;POST;1,5824
390;GET;0,1273
390;POST;1,6
391;GET;0,1368
391;POST;1,5722
392;GET;0,135
392;POST;1,5259
393;GET;0,1267
393;POST;1,5988
394;GET;0,1221
394;POST;1,6239
395;GET;0,1295
395;POST;1,5831
396;GET;0,1345
396;POST;1,6644
397;GET;0,1285
397;POST;1,6401
398;GET;0,1257
398;POST;1,5763
399;GET;0,126
399;POST;1,6885
400;GET;0,1276
400;POST;1,5451
401;GET;0,1317
401;POST;1,6325
402;GET;0,1299
402;POST;1,5742
403;GET;0,1313
403;POST;1,5173
404;GET;0,1304
404;POST;1,6186
405;GET;0,153
405;POST;1,6073
406;GET;0,1353
406;POST;1,5721
407;GET;0,1304
407;POST;1,667
408;GET;0,1235
408;POST;1,554
409;GET;0,1316
409;POST;1,6426
410;GET;0,1312
410;POST;1,5584
411;GET;0,1274
411;POST;1,5022
412;GET;0,1263
412;POST;1,5507
413;GET;0,1357
413;POST;1,618
414;GET;0,1282
414;POST;1,5742
415;GET;0,1336
415;POST;1,5986
416;GET;0,1321
416;POST;1,5969
417;GET;0,1228
417;POST;1,6245
418;GET;0,1336
418;POST;1,5545
419;GET;0,1319
419;POST;1,5811
420;GET;0,131
420;POST;1,5663
421;GET;0,13
421;POST;1,581
422;GET;0,1429
422;POST;1,6064
423;GET;0,1322
423;POST;1,5853
424;GET;0,1286
424;POST;1,6194
425;GET;0,1251
425;POST;1,5216
426;GET;0,1275
426;POST;1,6334
427;GET;0,1369
427;POST;1,5758
428;GET;0,1307
428;POST;1,6117
429;GET;0,1312
429;POST;1,6165
430;GET;0,141
430;POST;1,5465
431;GET;0,1397
431;POST;1,5345
432;GET;0,1343
432;POST;1,5903
433;GET;0,124
433;POST;1,661
434;GET;0,1279
434;POST;1,6431
435;GET;0,149
435;POST;1,543
436;GET;0,1304
436;POST;1,5625
437;GET;0,136
437;POST;1,5542
438;GET;0,1312
438;POST;1,5686
439;GET;0,1306
439;POST;1,5886
440;GET;0,1332
440;POST;1,5304
441;GET;0,1342
441;POST;1,6065
442;GET;0,1276
442;POST;1,5361
443;GET;0,1342
443;POST;1,6309
444;GET;0,1213
444;POST;1,6293
445;GET;0,1295
445;POST;1,5579
446;GET;0,1441
446;POST;1,5817
447;GET;0,1307
447;POST;1,6225
448;GET;0,1257
448;POST;1,5603
449;GET;0,1268
449;POST;1,5385
450;GET;0,1337
450;POST;1,5897
451;GET;0,1319
451;POST;1,5898
452;GET;0,1408
452;POST;1,6221
453;GET;0,1264
453;POST;1,6246
454;GET;0,1275
454;POST;1,5106
455;GET;0,1315
455;POST;1,6375
456;GET;0,1364
456;POST;1,5589
457;GET;0,1278
457;POST;1,5556
458;GET;0,1331
458;POST;1,591
459;GET;0,1215
459;POST;1,5649
460;GET;0,1351
460;POST;1,5484
461;GET;0,1246
461;POST;1,5798
462;GET;0,1308
462;POST;1,5487
463;GET;0,1265
463;POST;1,6011
464;GET;0,1292
464;POST;1,604
465;GET;0,1408
465;POST;1,5262
466;GET;0,1279
466;POST;1,5335
467;GET;0,166
467;POST;1,5519
468;GET;0,1387
468;POST;1,5727
469;GET;0,1335
469;POST;1,5845
470;GET;0,1455
470;POST;1,5467
471;GET;0,1319
471;POST;1,5591
472;GET;0,1266
472;POST;1,5359
473;GET;0,1286
473;POST;1,627
474;GET;0,1267
474;POST;1,6173
475;GET;0,1379
475;POST;1,5404
476;GET;0,1267
476;POST;1,5478
477;GET;0,1258
477;POST;1,5582
478;GET;0,1285
478;POST;1,5672
479;GET;0,1344
479;POST;1,6226
480;GET;0,1373
480;POST;1,6626
481;GET;0,1308
481;POST;1,587
482;GET;0,1241
482;POST;1,5586
483;GET;0,1321
483;POST;1,6246
484;GET;0,1324
484;POST;1,5857
485;GET;0,1314
485;POST;1,605
486;GET;0,1344
486;POST;1,6209
487;GET;0,1348
487;POST;1,5267
488;GET;0,1462
488;POST;1,6094
489;GET;0,13
489;POST;1,6146
490;GET;0,1298
490;POST;1,6797
491;GET;0,1419
491;POST;1,5495
