Iteracion;Tipo;Tiempo (s)
288;POST;1,5716
289;GET;0,1303
289;POST;1,5678
290;GET;0,1247
290;POST;1,6107
291;GET;0,1246
291;POST;1,6192
292;GET;0,1361
292;POST;1,5462
293;GET;0,1326
293;POST;1,6822
294;GET;0,1411
294;POST;1,563
295;GET;0,1244
295;POST;1,5805
296;GET;0,1272
296;POST;1,5038
297;GET;0,137
297;POST;1,511
298;GET;0,136
298;POST;1,6323
299;GET;0,1227
299;POST;1,5598
300;GET;0,1184
300;POST;1,5422
301;GET;0,1265
301;POST;1,6366
302;GET;0,1259
302;POST;1,5949
303;GET;0,1363
303;POST;1,5956
304;GET;0,1295
304;POST;1,5819
305;GET;0,1282
305;POST;1,5309
306;GET;0,1299
306;POST;1,6034
307;GET;0,132
307;POST;1,5709
308;GET;0,1474
308;POST;1,5705
309;GET;0,1232
309;POST;1,5362
310;GET;0,1343
310;POST;1,5787
311;GET;0,1319
311;POST;1,5781
312;GET;0,1488
312;POST;1,5904
313;GET;0,1242
313;POST;1,5021
314;GET;0,1163
314;POST;1,574
315;GET;0,1309
315;POST;1,6448
316;GET;0,1281
316;POST;1,6194
317;GET;0,143
317;POST;1,6031
318;GET;0,1342
318;POST;1,6039
319;GET;0,1246
319;POST;1,6054
320;GET;0,1253
320;POST;1,5505
321;GET;0,1349
321;POST;1,5063
322;GET;0,1207
322;POST;1,5832
323;GET;0,1245
323;POST;1,5284
324;GET;0,1257
324;POST;1,558
325;GET;0,1285
325;POST;1,5418
326;GET;0,1252
326;POST;1,5636
327;GET;0,1392
327;POST;1,6337
328;GET;0,13
328;POST;1,646
329;GET;0,1191
329;POST;1,5119
330;GET;0,1197
330;POST;1,598
331;GET;0,1345
331;POST;1,5476
332;GET;0,1206
332;POST;1,5555
333;GET;0,1294
333;POST;1,5709
334;GET;0,128
334;POST;1,5539
335;GET;0,1431
335;POST;1,6702
336;GET;0,1261
336;POST;1,5701
337;GET;0,1281
337;POST;1,62
338;GET;0,134
338;POST;1,5018
339;GET;0,1251
339;POST;1,4848
340;GET;0,122
340;POST;1,5344
341;GET;0,1219
341;POST;1,6375
342;GET;0,1448
342;POST;1,6284
343;GET;0,1278
343;POST;1,5674
344;GET;0,1274
344;POST;1,6367
345;GET;0,1188
345;POST;1,6273
346;GET;0,1231
346;POST;1,5445
347;GET;0,1289
347;POST;1,5957
348;GET;0,1289
348;POST;1,5584
349;GET;0,124
349;POST;1,5735
350;GET;0,1304
350;POST;1,5545
351;GET;0,1186
351;POST;1,585
352;GET;0,1303
352;POST;1,5982
353;GET;0,1365
353;POST;1,6218
354;GET;0,1316
354;POST;1,6259
355;GET;0,1294
355;POST;1,6555
356;GET;0,1388
356;POST;1,5653
357;GET;0,1249
357;POST;1,5976
358;GET;0,1237
358;POST;1,6108
359;GET;0,1271
359;POST;1,5474
360;GET;0,1277
360;POST;1,5349
361;GET;0,1203
361;POST;1,5461
362;GET;0,1223
362;POST;1,5808
